stats_o/std,stats_g/mean,stats_g/std,train/success_rate,train/episode,stats_o/mean,test/mean_Q,epoch,test/success_rate,test/episode
0.925838,0.3671086,0.2158538,0.0008333333333333334,3400.0,0.2096558,-49.69417,34,0.020833333333333332,680.0
0.9258283,0.3671092,0.21586256,0.0,3500.0,0.20965512,-47.242706,35,0.024999999999999998,700.0
0.9258191,0.36710963,0.21586971,0.0025,3600.0,0.20965488,-48.751392,36,0.012500000000000002,720.0
0.9258087,0.36711177,0.21587741,0.0016666666666666668,3700.0,0.20965521,-49.285778,37,0.016666666666666666,740.0
0.9257972,0.3671128,0.21588345,0.0,3800.0,0.20965499,-47.33337,38,0.012500000000000002,760.0
0.9257861,0.3671153,0.2158917,0.0033333333333333335,3900.0,0.2096553,-51.37206,39,0.020833333333333332,780.0
0.92577523,0.36711684,0.21589966,0.0033333333333333335,4000.0,0.20965521,-49.171936,40,0.012500000000000002,800.0
0.9257625,0.3671175,0.21590571,0.0,4100.0,0.20965485,-48.564793,41,0.024999999999999998,820.0
0.9257505,0.36712024,0.21591222,0.004166666666666667,4200.0,0.2096544,-48.190136,42,0.0375,840.0
0.9257361,0.3671218,0.21591882,0.0,4300.0,0.20965506,-49.274586,43,0.025000000000000005,860.0
0.9257219,0.36712345,0.21592538,0.0008333333333333334,4400.0,0.20965548,-50.620987,44,0.012500000000000002,880.0
0.92570597,0.36712536,0.21593027,0.0,4500.0,0.20965523,-50.373455,45,0.03333333333333333,900.0
0.9256924,0.36712512,0.2159384,0.0033333333333333335,4600.0,0.209655,-49.561726,46,0.020833333333333332,920.0
0.9256789,0.36712638,0.21594529,0.0025,4700.0,0.2096551,-51.00324,47,0.020833333333333332,940.0
0.9256646,0.36712685,0.21595143,0.0008333333333333334,4800.0,0.20965488,-53.17071,48,0.008333333333333333,960.0
0.92565036,0.36712828,0.21595915,0.0025,4900.0,0.20965548,-51.59445,49,0.03333333333333333,980.0
0.9256351,0.36713004,0.21596707,0.0025,5000.0,0.20965599,-51.341724,50,0.012500000000000002,1000.0
0.925618,0.3671312,0.21597348,0.0033333333333333335,5100.0,0.20965607,-52.023235,51,0.004166666666666667,1020.0
0.92560226,0.36713186,0.21598129,0.0016666666666666668,5200.0,0.20965625,-51.309895,52,0.029166666666666664,1040.0
0.92558736,0.36713377,0.21598864,0.0025,5300.0,0.20965703,-53.05556,53,0.016666666666666666,1060.0
0.92557144,0.3671355,0.21599506,0.0,5400.0,0.2096581,-54.786785,54,0.025000000000000005,1080.0
0.925555,0.36713752,0.21599837,0.0016666666666666668,5500.0,0.20965837,-51.92348,55,0.020833333333333332,1100.0
0.92554003,0.3671383,0.2160049,0.0016666666666666668,5600.0,0.20965838,-56.03101,56,0.012500000000000002,1120.0
0.925525,0.36714062,0.21601157,0.0033333333333333335,5700.0,0.20965977,-53.688923,57,0.03333333333333333,1140.0
0.9255104,0.3671433,0.21601753,0.0,5800.0,0.20965995,-52.880478,58,0.02916666666666667,1160.0
0.9254951,0.36714604,0.21602161,0.0025,5900.0,0.20966065,-52.6489,59,0.016666666666666666,1180.0
0.92547894,0.36714873,0.21602736,0.0025,6000.0,0.2096619,-55.655,60,0.004166666666666667,1200.0
0.925463,0.36715165,0.21603353,0.0,6100.0,0.2096635,-54.276184,61,0.020833333333333332,1220.0
0.9254479,0.3671538,0.2160406,0.0016666666666666668,6200.0,0.20966513,-54.5481,62,0.008333333333333333,1240.0
0.9254317,0.36715558,0.21604823,0.004166666666666667,6300.0,0.20966582,-55.722626,63,0.016666666666666666,1260.0
0.92541677,0.36715826,0.21605526,0.0016666666666666668,6400.0,0.20966657,-55.90149,64,0.020833333333333332,1280.0
0.92540264,0.3671607,0.21606179,0.0008333333333333334,6500.0,0.20966761,-55.429607,65,0.004166666666666667,1300.0
0.9253859,0.36716256,0.21607046,0.0008333333333333334,6600.0,0.20966874,-55.223118,66,0.012500000000000002,1320.0
0.92537,0.36716506,0.21607627,0.0025,6700.0,0.20966937,-55.75546,67,0.020833333333333332,1340.0
0.9253542,0.36716852,0.21608286,0.0033333333333333335,6800.0,0.20966996,-57.02112,68,0.008333333333333333,1360.0
0.92533845,0.3671709,0.2160887,0.0016666666666666668,6900.0,0.20967068,-55.197376,69,0.008333333333333333,1380.0
0.9253215,0.36717257,0.21609367,0.0025,7000.0,0.20967168,-55.33879,70,0.020833333333333332,1400.0
0.9253047,0.36717477,0.21609904,0.0016666666666666668,7100.0,0.2096727,-54.871487,71,0.02916666666666667,1420.0
0.92528915,0.36717656,0.216103,0.0016666666666666668,7200.0,0.20967384,-57.509335,72,0.016666666666666666,1440.0
0.92527205,0.36717787,0.21610881,0.0025,7300.0,0.20967402,-57.65803,73,0.004166666666666667,1460.0
0.92525524,0.36717984,0.21611442,0.0033333333333333335,7400.0,0.2096742,-57.586304,74,0.012500000000000002,1480.0
