epoch,test/success_rate,stats_o/mean,train/success_rate,test/mean_Q,stats_g/mean,test/episode,stats_o/std,stats_g/std,train/episode
59,0.02916666666666667,0.21073158,0.004166666666666667,-46.57298,0.3685157,1180.0,0.9222479,0.21395087,5900.0
60,0.012500000000000002,0.21073274,0.0025,-50.868057,0.36851892,1200.0,0.9222377,0.21395822,6000.0
61,0.020833333333333332,0.21073417,0.0016666666666666668,-49.506927,0.3685228,1220.0,0.9222272,0.21396494,6100.0
62,0.016666666666666666,0.2107348,0.005,-51.21477,0.36852524,1240.0,0.92221594,0.2139724,6200.0
63,0.016666666666666666,0.21073562,0.0025,-51.912006,0.36852768,1260.0,0.92220426,0.21397938,6300.0
64,0.012500000000000002,0.21073632,0.004166666666666667,-50.787006,0.3685306,1280.0,0.92219144,0.21398504,6400.0
65,0.012500000000000002,0.21073727,0.004166666666666667,-53.61734,0.36853346,1300.0,0.92217845,0.2139916,6500.0
66,0.020833333333333332,0.21073858,0.0008333333333333334,-51.70818,0.36853608,1320.0,0.9221634,0.21399869,6600.0
67,0.008333333333333333,0.21073972,0.0008333333333333334,-53.38265,0.36853918,1340.0,0.92214936,0.21400328,6700.0
68,0.008333333333333333,0.21074097,0.0016666666666666668,-54.255646,0.36854318,1360.0,0.9221356,0.21400778,6800.0
69,0.016666666666666666,0.21074174,0.0016666666666666668,-52.928898,0.3685464,1380.0,0.92212224,0.2140124,6900.0
70,0.004166666666666667,0.21074261,0.0025,-54.477936,0.36854848,1400.0,0.92210793,0.21401845,7000.0
71,0.016666666666666666,0.21074323,0.0025,-53.44875,0.36855102,1420.0,0.9220936,0.21402432,7100.0
72,0.008333333333333333,0.2107442,0.0,-55.83253,0.3685542,1440.0,0.9220786,0.21402805,7200.0
73,0.008333333333333333,0.21074526,0.0025,-54.890774,0.3685576,1460.0,0.9220633,0.2140321,7300.0
74,0.012500000000000002,0.21074621,0.0033333333333333335,-56.235508,0.36856052,1480.0,0.9220479,0.21403845,7400.0
75,0.0375,0.21074712,0.0,-55.532593,0.36856318,1500.0,0.9220329,0.214043,7500.0
76,0.008333333333333333,0.21074764,0.0016666666666666668,-55.517242,0.36856517,1520.0,0.9220187,0.21404947,7600.0
77,0.020833333333333332,0.2107485,0.005,-55.16051,0.3685679,1540.0,0.9220038,0.21405323,7700.0
78,0.008333333333333333,0.21074896,0.0008333333333333334,-56.954544,0.36857018,1560.0,0.9219894,0.21405797,7800.0
79,0.025000000000000005,0.21074931,0.0008333333333333334,-55.915974,0.36857244,1580.0,0.92197424,0.21406163,7900.0
80,0.0,0.21075036,0.0016666666666666668,-60.052387,0.36857417,1600.0,0.9219596,0.21406619,8000.0
81,0.008333333333333333,0.21075112,0.0016666666666666668,-58.34038,0.3685765,1620.0,0.9219453,0.21407063,8100.0
82,0.012500000000000002,0.21075177,0.0033333333333333335,-57.305435,0.36857915,1640.0,0.9219306,0.21407442,8200.0
83,0.03333333333333333,0.21075298,0.0008333333333333334,-57.077274,0.368582,1660.0,0.92191666,0.21407999,8300.0
84,0.004166666666666667,0.21075289,0.0016666666666666668,-58.890995,0.3685856,1680.0,0.9219025,0.21408606,8400.0
85,0.012500000000000002,0.21075375,0.0025,-58.095463,0.36858812,1700.0,0.92188805,0.21408887,8500.0
86,0.012500000000000002,0.21075378,0.0016666666666666668,-58.342426,0.36858997,1720.0,0.92187446,0.2140932,8600.0
87,0.008333333333333333,0.21075411,0.0016666666666666668,-58.05298,0.3685926,1740.0,0.9218609,0.2140991,8700.0
88,0.0,0.2107545,0.0016666666666666668,-61.72176,0.36859557,1760.0,0.9218481,0.21410322,8800.0
89,0.016666666666666666,0.21075518,0.0016666666666666668,-59.693104,0.36859736,1780.0,0.92183524,0.21411054,8900.0
90,0.016666666666666666,0.21075521,0.0025,-59.175556,0.36859956,1800.0,0.92182255,0.21411668,9000.0
91,0.025000000000000005,0.21075563,0.0008333333333333334,-59.870655,0.36860093,1820.0,0.92181,0.21412243,9100.0
92,0.016666666666666666,0.21075584,0.0008333333333333334,-59.460857,0.36860391,1840.0,0.921797,0.21412961,9200.0
93,0.008333333333333333,0.21075547,0.0033333333333333335,-60.537094,0.368606,1860.0,0.921784,0.2141354,9300.0
94,0.016666666666666666,0.21075559,0.0008333333333333334,-61.343273,0.36860833,1880.0,0.9217699,0.21414049,9400.0
95,0.004166666666666667,0.21075584,0.0016666666666666668,-59.76906,0.3686099,1900.0,0.92175716,0.2141475,9500.0
96,0.012500000000000002,0.21075632,0.0008333333333333334,-58.625538,0.3686119,1920.0,0.92174274,0.2141534,9600.0
97,0.016666666666666666,0.21075703,0.0008333333333333334,-60.524826,0.36861372,1940.0,0.9217294,0.2141571,9700.0
98,0.025000000000000005,0.21075775,0.0008333333333333334,-60.6013,0.3686153,1960.0,0.9217171,0.21416314,9800.0
99,0.008333333333333333,0.21075897,0.0,-61.76242,0.36861703,1980.0,0.92170477,0.21416698,9900.0
100,0.004166666666666667,0.21075968,0.0,-59.69219,0.36862016,2000.0,0.9216917,0.2141707,10000.0
101,0.016666666666666666,0.21076103,0.0008333333333333334,-60.896923,0.36862323,2020.0,0.9216792,0.21417512,10100.0
102,0.004166666666666667,0.21076202,0.0008333333333333334,-60.898212,0.36862555,2040.0,0.9216654,0.21418132,10200.0
103,0.016666666666666666,0.21076305,0.0033333333333333335,-60.700592,0.36862937,2060.0,0.921652,0.21418767,10300.0
104,0.012500000000000002,0.21076351,0.0025,-60.378113,0.36863175,2080.0,0.9216401,0.21419494,10400.0
105,0.020833333333333332,0.21076417,0.0033333333333333335,-60.427444,0.3686346,2100.0,0.921627,0.2142006,10500.0
106,0.016666666666666666,0.21076496,0.0008333333333333334,-60.10356,0.36863545,2120.0,0.92161304,0.2142067,10600.0
107,0.016666666666666666,0.21076612,0.0016666666666666668,-61.686886,0.368637,2140.0,0.9215989,0.2142141,10700.0
108,0.02916666666666667,0.21076615,0.0008333333333333334,-62.068787,0.3686389,2160.0,0.9215854,0.21421777,10800.0
109,0.004166666666666667,0.2107666,0.0016666666666666668,-61.475292,0.36864042,2180.0,0.921571,0.21422283,10900.0
110,0.012500000000000002,0.21076714,0.0,-60.47745,0.36864242,2200.0,0.9215558,0.2142245,11000.0
111,0.012500000000000002,0.21076782,0.0,-64.620415,0.3686441,2220.0,0.9215414,0.21422577,11100.0
112,0.008333333333333333,0.21076863,0.0033333333333333335,-60.43532,0.36864614,2240.0,0.92152756,0.2142298,11200.0
113,0.025000000000000005,0.21076967,0.0,-63.331966,0.36864778,2260.0,0.9215138,0.21423554,11300.0
114,0.0,0.21077049,0.0033333333333333335,-63.386353,0.36864898,2280.0,0.92149955,0.21423905,11400.0
115,0.012500000000000002,0.2107706,0.0008333333333333334,-61.117878,0.36864993,2300.0,0.9214862,0.21424644,11500.0
116,0.008333333333333333,0.21077132,0.004166666666666667,-63.136612,0.36865196,2320.0,0.9214732,0.21424915,11600.0
117,0.008333333333333333,0.21077146,0.0008333333333333334,-62.780003,0.36865363,2340.0,0.92145914,0.21425162,11700.0
118,0.008333333333333333,0.21077143,0.0008333333333333334,-62.305866,0.36865482,2360.0,0.92144704,0.21425474,11800.0
119,0.012500000000000002,0.21077083,0.0025,-63.251865,0.36865553,2380.0,0.9214347,0.21426187,11900.0
120,0.016666666666666666,0.21077174,0.0008333333333333334,-64.07257,0.3686575,2400.0,0.92142224,0.21426414,12000.0
121,0.004166666666666667,0.21077229,0.0008333333333333334,-62.47311,0.36865887,2420.0,0.9214104,0.21426845,12100.0
122,0.016666666666666666,0.21077304,0.0025,-61.38934,0.36865982,2440.0,0.9213994,0.21427608,12200.0
123,0.008333333333333333,0.21077305,0.0016666666666666668,-65.183235,0.36865935,2460.0,0.9213889,0.21428494,12300.0
124,0.004166666666666667,0.21077354,0.0,-63.336437,0.3686603,2480.0,0.921379,0.2142938,12400.0
125,0.012500000000000002,0.2107747,0.0,-63.255177,0.36866185,2500.0,0.9213691,0.214303,12500.0
126,0.008333333333333333,0.21077543,0.0008333333333333334,-62.06795,0.36866435,2520.0,0.9213596,0.21431293,12600.0
127,0.004166666666666667,0.21077533,0.0,-63.7086,0.36866543,2540.0,0.9213522,0.21432416,12700.0
128,0.008333333333333333,0.21077548,0.0008333333333333334,-64.99981,0.36866832,2560.0,0.9213441,0.21433415,12800.0
129,0.004166666666666667,0.21077509,0.0008333333333333334,-62.789417,0.36867037,2580.0,0.92133635,0.21434332,12900.0
130,0.012500000000000002,0.21077508,0.0008333333333333334,-60.28496,0.36867198,2600.0,0.92133,0.21435489,13000.0
131,0.016666666666666666,0.21077497,0.0008333333333333334,-62.51996,0.3686743,2620.0,0.92132276,0.21436417,13100.0
132,0.008333333333333333,0.21077518,0.0008333333333333334,-61.133564,0.36867592,2640.0,0.9213148,0.21437366,13200.0
133,0.024999999999999998,0.21077414,0.0025,-60.71788,0.3686762,2660.0,0.9213066,0.21438567,13300.0
134,0.008333333333333333,0.21077399,0.0008333333333333334,-61.187836,0.36867628,2680.0,0.92129976,0.21439703,13400.0
135,0.020833333333333332,0.21077369,0.0008333333333333334,-60.140255,0.3686768,2700.0,0.9212916,0.21440871,13500.0
136,0.008333333333333333,0.21077271,0.0,-60.837097,0.36867675,2720.0,0.9212844,0.2144192,13600.0
137,0.012500000000000002,0.21077152,0.0,-60.248493,0.36867762,2740.0,0.92127675,0.21442898,13700.0
138,0.008333333333333333,0.21077149,0.0025,-62.51235,0.36867777,2760.0,0.9212699,0.21443848,13800.0
139,0.016666666666666666,0.2107714,0.0033333333333333335,-58.243282,0.36867967,2780.0,0.92126185,0.2144485,13900.0
140,0.008333333333333333,0.2107711,0.0,-58.998688,0.3686812,2800.0,0.9212527,0.2144564,14000.0
141,0.016666666666666666,0.2107703,0.0033333333333333335,-60.07489,0.36868286,2820.0,0.92124486,0.21446498,14100.0
142,0.02916666666666667,0.21077017,0.0008333333333333334,-59.16624,0.36868438,2840.0,0.9212367,0.21447241,14200.0
143,0.03333333333333333,0.2107703,0.0016666666666666668,-60.142822,0.36868635,2860.0,0.92122775,0.21448123,14300.0
144,0.0375,0.21077113,0.0016666666666666668,-57.78902,0.36868826,2880.0,0.9212179,0.21448846,14400.0
145,0.0,0.21077038,0.005,-60.531254,0.36868978,2900.0,0.9212082,0.2144974,14500.0
146,0.016666666666666666,0.21077009,0.0016666666666666668,-58.76062,0.36869183,2920.0,0.9211989,0.21450533,14600.0
147,0.020833333333333332,0.21077062,0.0008333333333333334,-58.629345,0.36869374,2940.0,0.92118937,0.21451075,14700.0
148,0.004166666666666667,0.21077083,0.0,-60.053425,0.36869434,2960.0,0.9211786,0.21451576,14800.0
149,0.016666666666666666,0.21077092,0.0033333333333333335,-59.078762,0.36869696,2980.0,0.9211692,0.21452217,14900.0
150,0.012500000000000002,0.21077152,0.0016666666666666668,-59.884277,0.3686994,3000.0,0.92115945,0.21452744,15000.0
151,0.020833333333333332,0.21077149,0.0025,-57.848114,0.36870137,3020.0,0.92114896,0.21453226,15100.0
152,0.016666666666666666,0.21077217,0.0008333333333333334,-58.33608,0.36870387,3040.0,0.92113966,0.2145363,15200.0
153,0.016666666666666666,0.21077211,0.0,-60.825806,0.36870596,3060.0,0.92112994,0.21454002,15300.0
154,0.012500000000000002,0.21077211,0.0016666666666666668,-59.46722,0.36870852,3080.0,0.92112064,0.21454568,15400.0
155,0.008333333333333333,0.21077196,0.0025,-59.594646,0.36870942,3100.0,0.92111176,0.21455221,15500.0
156,0.0,0.21077104,0.0016666666666666668,-60.12061,0.36871,3120.0,0.9211033,0.21455872,15600.0
157,0.008333333333333333,0.21077068,0.0008333333333333334,-59.176243,0.3687106,3140.0,0.92109555,0.21456535,15700.0
158,0.012499999999999999,0.21077067,0.0016666666666666668,-59.73927,0.36871138,3160.0,0.9210873,0.21457334,15800.0
159,0.020833333333333332,0.21077053,0.0016666666666666668,-57.055817,0.36871162,3180.0,0.9210803,0.21458031,15900.0
160,0.016666666666666666,0.21077062,0.0016666666666666668,-59.180264,0.36871204,3200.0,0.92107326,0.21458681,16000.0
161,0.008333333333333333,0.21077143,0.0016666666666666668,-58.78922,0.36871168,3220.0,0.9210661,0.21459536,16100.0
162,0.016666666666666666,0.21077234,0.0008333333333333334,-58.210064,0.36871216,3240.0,0.9210585,0.21460183,16200.0
163,0.008333333333333333,0.21077377,0.0025,-59.56029,0.3687125,3260.0,0.92105144,0.21460962,16300.0
164,0.008333333333333333,0.21077366,0.0016666666666666668,-58.304356,0.3687128,3280.0,0.9210439,0.21461725,16400.0
165,0.012500000000000002,0.21077411,0.0033333333333333335,-59.54747,0.3687129,3300.0,0.9210353,0.2146246,16500.0
166,0.008333333333333333,0.21077423,0.004166666666666667,-57.976765,0.3687136,3320.0,0.92102724,0.21462949,16600.0
167,0.012500000000000002,0.21077502,0.0,-59.75995,0.36871365,3340.0,0.92101926,0.21463434,16700.0
168,0.025000000000000005,0.21077502,0.0,-58.57301,0.36871335,3360.0,0.92100936,0.21464099,16800.0
169,0.024999999999999998,0.2107759,0.0033333333333333335,-58.19546,0.36871335,3380.0,0.92099863,0.21464531,16900.0
170,0.004166666666666667,0.21077637,0.0016666666666666668,-56.84373,0.36871466,3400.0,0.9209872,0.214649,17000.0
171,0.03333333333333333,0.21077631,0.0025,-58.539783,0.36871502,3420.0,0.92097527,0.2146538,17100.0
172,0.012500000000000002,0.21077603,0.0025,-58.53348,0.36871552,3440.0,0.9209636,0.21465881,17200.0
173,0.012500000000000002,0.21077602,0.0,-59.10855,0.36871687,3460.0,0.920952,0.2146637,17300.0
174,0.012500000000000002,0.21077569,0.0025,-58.424267,0.36871818,3480.0,0.9209392,0.21466719,17400.0
175,0.012500000000000002,0.21077506,0.0033333333333333335,-57.867107,0.3687195,3500.0,0.92092603,0.21467151,17500.0
176,0.012500000000000002,0.2107742,0.0,-60.105057,0.36871925,3520.0,0.920914,0.21467678,17600.0
177,0.012500000000000002,0.21077354,0.0025,-58.366314,0.3687205,3540.0,0.92090243,0.21468079,17700.0
178,0.004166666666666667,0.21077369,0.004166666666666667,-58.74596,0.36872077,3560.0,0.9208893,0.21468759,17800.0
179,0.02916666666666667,0.21077418,0.0016666666666666668,-58.209423,0.3687211,3580.0,0.9208781,0.21469314,17900.0
180,0.008333333333333333,0.21077372,0.004166666666666667,-58.36452,0.36872172,3600.0,0.92086697,0.21469681,18000.0
181,0.012500000000000002,0.21077412,0.0,-59.16933,0.36872223,3620.0,0.92085654,0.21470077,18100.0
182,0.016666666666666666,0.21077293,0.0008333333333333334,-58.79259,0.36872348,3640.0,0.92084557,0.21470745,18200.0
183,0.020833333333333332,0.21077205,0.0008333333333333334,-58.829144,0.36872402,3660.0,0.92083406,0.21471338,18300.0
184,0.012500000000000002,0.21077113,0.0016666666666666668,-58.567646,0.36872545,3680.0,0.920825,0.21471882,18400.0
185,0.020833333333333332,0.21077059,0.0008333333333333334,-58.18115,0.3687264,3700.0,0.9208142,0.21472216,18500.0
186,0.008333333333333333,0.21076979,0.0016666666666666668,-60.123608,0.36872768,3720.0,0.9208037,0.2147292,18600.0
187,0.016666666666666666,0.21076925,0.0033333333333333335,-61.275562,0.3687284,3740.0,0.92079276,0.2147351,18700.0
188,0.016666666666666666,0.21076886,0.0,-60.1657,0.36873052,3760.0,0.92078334,0.21474026,18800.0
189,0.016666666666666666,0.21076824,0.0025,-59.56158,0.36873183,3780.0,0.92077273,0.21474533,18900.0
190,0.012500000000000002,0.21076705,0.0008333333333333334,-61.427734,0.3687342,3800.0,0.9207614,0.21474968,19000.0
191,0.020833333333333332,0.21076663,0.0016666666666666668,-59.31099,0.3687354,3820.0,0.9207508,0.21475567,19100.0
192,0.024999999999999998,0.21076556,0.0016666666666666668,-60.79863,0.36873674,3840.0,0.92073864,0.21476151,19200.0
193,0.020833333333333332,0.21076424,0.0025,-60.803005,0.36873832,3860.0,0.920728,0.21476448,19300.0
194,0.012500000000000002,0.2107635,0.004166666666666667,-58.638306,0.36874035,3880.0,0.92071754,0.2147669,19400.0
195,0.020833333333333332,0.21076305,0.0016666666666666668,-58.308136,0.36874107,3900.0,0.9207074,0.21477,19500.0
196,0.012500000000000002,0.21076196,0.0033333333333333335,-61.521336,0.36874166,3920.0,0.9206973,0.21477337,19600.0
197,0.025000000000000005,0.21076071,0.0008333333333333334,-59.8282,0.36874175,3940.0,0.9206864,0.21477847,19700.0
198,0.004166666666666667,0.21076052,0.0,-59.285877,0.36874387,3960.0,0.9206757,0.21478428,19800.0
199,0.012500000000000002,0.21075965,0.0033333333333333335,-61.814957,0.36874595,3980.0,0.92066497,0.214788,19900.0
200,0.020833333333333332,0.21075861,0.0008333333333333334,-60.7332,0.36874822,4000.0,0.920655,0.21479113,20000.0
201,0.004166666666666667,0.21075754,0.0016666666666666668,-61.009014,0.3687501,4020.0,0.9206446,0.21479218,20100.0
202,0.008333333333333333,0.21075653,0.0008333333333333334,-60.09065,0.3687518,4040.0,0.9206355,0.2147979,20200.0
203,0.012500000000000002,0.21075602,0.0,-59.876095,0.36875448,4060.0,0.9206255,0.21480076,20300.0
204,0.029166666666666664,0.21075477,0.0,-59.863525,0.36875525,4080.0,0.9206154,0.21480574,20400.0
205,0.02916666666666667,0.21075393,0.0008333333333333334,-61.243847,0.36875704,4100.0,0.92060584,0.21480952,20500.0
206,0.020833333333333332,0.21075304,0.0008333333333333334,-59.08226,0.36875883,4120.0,0.9205964,0.21481414,20600.0
207,0.008333333333333333,0.2107525,0.0,-60.322956,0.36876026,4140.0,0.9205868,0.21481948,20700.0
208,0.016666666666666666,0.21075177,0.0008333333333333334,-60.579906,0.36876202,4160.0,0.9205769,0.21482258,20800.0
209,0.020833333333333332,0.2107511,0.0025,-59.74516,0.36876473,4180.0,0.9205683,0.21482702,20900.0
210,0.016666666666666666,0.21075028,0.0,-61.559284,0.3687673,4200.0,0.9205579,0.21483211,21000.0
211,0.008333333333333333,0.21074913,0.0025,-61.598553,0.36876974,4220.0,0.920548,0.21483631,21100.0
212,0.012500000000000002,0.21074848,0.0016666666666666668,-61.249287,0.36877236,4240.0,0.92053777,0.21484335,21200.0
213,0.03333333333333333,0.21074761,0.0016666666666666668,-60.470596,0.36877468,4260.0,0.9205285,0.21485122,21300.0
214,0.004166666666666667,0.21074589,0.0008333333333333334,-59.01781,0.36877713,4280.0,0.92051965,0.2148565,21400.0
215,0.008333333333333333,0.21074522,0.0008333333333333334,-63.33848,0.3687803,4300.0,0.9205115,0.21486126,21500.0
216,0.029166666666666664,0.21074416,0.0025,-59.908947,0.36878332,4320.0,0.92050296,0.21486671,21600.0
217,0.016666666666666666,0.21074314,0.0,-59.747944,0.3687862,4340.0,0.92049426,0.21487387,21700.0
218,0.008333333333333333,0.21074231,0.0008333333333333334,-61.625107,0.3687884,4360.0,0.9204855,0.21487863,21800.0
219,0.004166666666666667,0.21074142,0.0016666666666666668,-60.88264,0.36879095,4380.0,0.9204785,0.21488367,21900.0
220,0.008333333333333333,0.21074025,0.0033333333333333335,-59.194744,0.36879316,4400.0,0.9204714,0.21488953,22000.0
221,0.008333333333333333,0.21073954,0.0033333333333333335,-57.960392,0.36879632,4420.0,0.9204671,0.21489547,22100.0
222,0.012500000000000002,0.21073912,0.0008333333333333334,-60.2848,0.36879882,4440.0,0.92046404,0.21490131,22200.0
223,0.012500000000000002,0.21073811,0.0016666666666666668,-57.032307,0.36880174,4460.0,0.9204604,0.21490492,22300.0
224,0.008333333333333333,0.21073653,0.0,-59.33714,0.36880472,4480.0,0.9204586,0.21491002,22400.0
225,0.004166666666666667,0.21073456,0.0016666666666666668,-56.68564,0.36880758,4500.0,0.9204561,0.21491589,22500.0
